1320,885
1506,971
1317,778
1527,971
1525,971
1522,971
1319,885
1511,874
1519,971
1531,971
1324,885
1533,739
1516,971
1521,971
1507,887
1318,885
1566,1021
1550,1021
1562,1021
1583,1021
1580,1021
1504,887
1322,885
1310,885
1503,971
1530,971
1524,971
1323,885
1505,739
1513,971
1528,971
1529,971
1526,971
1508,971
1509,971
223,887
221,797
995FM,764
PF2125,887
PF2117,1134
PF2122,887
PF2108,887
PF2113,887
PF2112,887
PF2106,1134
PF2102,1134
PF2109,887
PF2120,1134
2101,764
PF2101,887
PF2111,887
PF2126,1134
PF2116,887
PF2121,887
PF2118,887
PF2115,887
PF2104,1134
PF2124,887
PF2103,887
PF2119,887
PF2107,1134
1010,764
1009,764
33F,764
2244,855
2108,855
2102,764
PF2114,887
2126,855
2122,751
2125,855
2110,764
1808,764
25,764
26B,764
26C,764
1008,764
25D,855
34,764
PF2105,1134
36,855
1006,764
26CF,764
25CF,855
22F,764
21F,764
2251,658
1806,764
37,855
PF2123,1134
2115,764
2124,764
2203,855
1800,764
1811,764
25C,855
35,855
1000,764
26,764
29B,764
25B,855
39,764
27,855
21,855
1002,764
1001,764
990,764
996FM,764
992,764
991,863
995,764
996,764
998,764
994,764
1007,764
993,764
999,764
PF559F,887
PF557F,1394
PF558F,1394
558,1115
515,1115
559,1115
512,887
517,887
517F,887
513,785
520,887
511,887
522,887
519,1115
514,833
136,751
1629,887
134,751
132,751
125,751
1630,1115
130D,751
133,751
1611,1115
1615,1115
1631,887
124B,751
128,835
1616,887
123D,751
129,835
1622,887
1900,1087
1905,1087
1903,1087
1901,1087
1902,1087
201,918
329,751
324,751
457,805
322,918
327,751
328,751
332,805
626F,805
625F,805
661,918
662,805
460,805
323,805
425,805
330,805
421,805
454,805
202,751
325,751
326,751
331,805
886,1775
756,2416
759,1775
754,1911
757,1911
758,1911
884,1775
221F,785
767,1911
143F,751
146F,696
144F,751
141F,835
704,1115
223F,887
710,874
708,1115
614,764
703,874
617,764
709,874
613,764
705,874
222F,887
702,1115
706,874
741,887
860,887
747,887
862,887
748,887
744,1115
740,887
750,874
511F,887
512F,887
514F,833
506,805
509,805
515F,887
502,805
508,805
507,918
501,805
505,805
503,805
504,805
711,833
81,835
721,887
83,696
85,696
86F,751
89,696
90,835
86,696
84,835
1634F,887
409F,578
1613F,887
1618F,887
48LF,696
45AF,696
43F,696
1633F,887
47DF,696
45F,696
764,1242
52F,785
615,764
47F,696
1617F,1115
1614F,887
413F,835
412F,751
1627F,887
1616F,887
46F,628
618,887
1612F,887
46LF,696
408L,751
413,751
406,751
403D,751
403,751
405A,751
412,751
408,835
410,835
43,696
55,683
43D,785
45A,642
46L,696
50,642
47D,696
45,642
47,696
53,683
47H,696
48,696
265FM,778
1810,764
1011,764
774,764
1003,764
1802,764
271,764
1809,764
264,764
282FM,705
777,855
282,855
1012,764
1013,764
266,764
1005,764
284,710
1801,764
1803,764
262,710
1004,764
263,764
782,764
776,764
740F,887
773,764
1820,764
288,710
783,764
796,764
248,764
245,764
110B,751
115,751
114,751
118,751
116,751
119,751
110,887
113,751
108BD,764
112,751
6BF,696
6CF,696
941F,696
939F,696
14F,642
9F,696
6F,696
5F,696
9BF,696
19F,696
8F,696
478,751
166B,751
166C,751
179,696
477,751
165C,751
166,751
162,751
176B,751
167BD,835
166D,751
162C,751
161,835
176,751
6B,696
5D,785
177,751
939,696
7BD,696
8,696
5,628
940,696
165D,751
6,696
9B,696
5B,785
19,696
941,696
2C,696
15,696
9,696
1171,6074
1175,6074
1176,6074
1177,6074
1174,6074
1173,6074
1172,6074
1170,6074
222,833
143,751
151,835
150,835
146,835
145,835
144,696
